epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,26.3059,1.81892,2.07766,1.40094,0.7361,0.40188,0.46047,0.24988,1.70169,1.65429,1.3501,0.000473891,0.000473891,0.000473891
2,50.6044,1.76633,1.63388,1.40274,0.81038,0.36604,0.46134,0.25769,1.69846,1.50945,1.38038,0.000940817,0.000940817,0.000940817
3,74.9569,1.76012,1.54035,1.4035,0.77568,0.42155,0.51369,0.26464,1.78146,1.39574,1.36473,0.00139831,0.00139831,0.00139831
4,99.1141,1.73767,1.46229,1.39415,0.82448,0.399,0.51981,0.27495,1.67374,1.40193,1.33887,0.00138656,0.00138656,0.00138656
5,123.187,1.69304,1.38262,1.35968,0.73982,0.43458,0.52284,0.3118,1.59073,1.29694,1.32682,0.00137241,0.00137241,0.00137241
6,147.049,1.6387,1.28874,1.33282,0.87807,0.49225,0.58048,0.36443,1.43713,1.0911,1.22786,0.00135826,0.00135826,0.00135826
7,171.226,1.6006,1.24872,1.31931,0.86983,0.51138,0.59362,0.35619,1.44432,1.07596,1.23806,0.00134412,0.00134412,0.00134412
8,195.382,1.57859,1.213,1.30141,0.82769,0.46256,0.56281,0.36691,1.40297,1.02819,1.2073,0.00132997,0.00132997,0.00132997
9,219.315,1.55289,1.18941,1.29218,0.88832,0.47435,0.58223,0.34873,1.51444,1.0775,1.24703,0.00131582,0.00131582,0.00131582
10,243.174,1.52687,1.1499,1.27246,0.85405,0.52069,0.61566,0.38059,1.37082,0.94743,1.19553,0.00130168,0.00130168,0.00130168
11,267.135,1.49247,1.11866,1.26467,0.86163,0.47594,0.60049,0.36906,1.4035,0.96643,1.20656,0.00128753,0.00128753,0.00128753
12,291.097,1.49388,1.11104,1.25531,0.88077,0.53328,0.62201,0.37283,1.41912,0.96294,1.21459,0.00127338,0.00127338,0.00127338
13,315.052,1.49442,1.10424,1.2579,0.90376,0.48998,0.62082,0.38254,1.35047,0.93843,1.18588,0.00125923,0.00125923,0.00125923
14,338.919,1.45872,1.0738,1.24072,0.89036,0.49595,0.61968,0.39928,1.32977,0.94267,1.18695,0.00124509,0.00124509,0.00124509
15,362.865,1.44509,1.05173,1.23688,0.81296,0.55036,0.63816,0.40223,1.3131,0.91723,1.18081,0.00123094,0.00123094,0.00123094
16,386.81,1.44542,1.04771,1.23091,0.88568,0.51841,0.62635,0.39617,1.32476,0.92706,1.17349,0.00121679,0.00121679,0.00121679
17,410.791,1.42389,1.0315,1.23032,0.87295,0.52934,0.6429,0.38605,1.43499,0.91055,1.20458,0.00120265,0.00120265,0.00120265
18,434.587,1.42393,1.03477,1.2253,0.89283,0.53044,0.6268,0.40026,1.26651,0.89088,1.14669,0.0011885,0.0011885,0.0011885
19,458.576,1.40382,1.01054,1.22108,0.94938,0.48369,0.63536,0.40671,1.2897,0.864,1.17082,0.00117435,0.00117435,0.00117435
20,482.376,1.40773,1.00424,1.21077,0.81487,0.56049,0.65161,0.40617,1.28884,0.85802,1.13964,0.00116021,0.00116021,0.00116021
