epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.1147,1.12276,1.60246,1.20051,0.92743,0.90167,0.93471,0.68469,1.0308,1.14763,1.06924,0.000474501,0.000474501,0.000474501
2,66.5598,1.10532,1.04116,1.1901,0.94572,0.88124,0.93336,0.67033,1.08514,0.88559,1.07882,0.000941421,0.000941421,0.000941421
3,97.9725,1.13028,0.91952,1.20881,0.89814,0.85592,0.90924,0.62469,1.16164,0.89729,1.12644,0.00139891,0.00139891,0.00139891
4,128.337,1.10924,0.82518,1.18967,0.97191,0.81524,0.91074,0.67469,1.06702,0.82077,1.0913,0.00138656,0.00138656,0.00138656
5,159.473,1.0773,0.78373,1.1789,0.95229,0.87034,0.92361,0.68349,1.0314,0.79317,1.07261,0.00137241,0.00137241,0.00137241
6,190.756,1.0558,0.74506,1.17047,0.96009,0.87269,0.92812,0.6818,1.03146,0.66238,1.04161,0.00135826,0.00135826,0.00135826
7,222.901,1.04319,0.72082,1.1597,0.91711,0.8994,0.93065,0.69513,1.01795,0.64444,1.0657,0.00134412,0.00134412,0.00134412
8,254.131,1.01752,0.68934,1.14481,0.87972,0.90104,0.92958,0.71525,0.96784,0.64498,1.0227,0.00132997,0.00132997,0.00132997
9,286.338,1.01194,0.66995,1.13757,0.95438,0.83693,0.9379,0.70489,1.00482,0.65692,1.02643,0.00131582,0.00131582,0.00131582
10,317.898,1.00177,0.65352,1.12793,0.98018,0.85857,0.93505,0.7025,0.99021,0.65746,1.02859,0.00130168,0.00130168,0.00130168
11,349.144,0.98388,0.63092,1.12096,0.97765,0.87446,0.92834,0.71085,0.92961,0.63568,1.00607,0.00128753,0.00128753,0.00128753
12,380.287,0.97611,0.62847,1.11681,0.9523,0.89629,0.93964,0.73119,0.96189,0.60027,1.00775,0.00127338,0.00127338,0.00127338
